Measurement: #8
Date: 2023-04-17T20:35:39.4084611+02:00
MLIC serial number: 23414
Comments: 
Calibration info: [2023-04-17 16:21:09]
Background compensation applied: yes
Uniformity calibration applied: yes
Snout dimension: n/a
Snout distance: n/a
FieldSize: 10 [cm]
SSD: 230 [cm]
Beam delivery mode: PencilBeamScanning
Sampling time: 10 [ms]
Number of samples: 2495
Measurement mode: MovieMode
Measurement time: 40 [s]
Build-up thickness: 0 [cm]
Build-up density: 0 [g/cm^3]
Bragg Peak type: Unknown
Channel count (active): 180
Channel numbers (active): 1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Channel numbers (disabled): 

Curves: 822
Curve depth: [mm]
1.310;3.174;5.039;6.903;8.767;10.631;12.496;14.360;16.224;18.089;19.953;21.817;23.682;25.546;27.410;29.274;31.139;33.003;34.867;36.732;38.596;40.460;42.325;44.189;46.053;47.917;49.782;51.646;53.510;55.375;57.239;59.103;60.968;62.832;64.696;66.560;68.425;70.289;72.153;74.018;75.882;77.746;79.611;81.475;83.339;85.203;87.068;88.932;90.796;92.661;94.525;96.389;98.254;100.118;101.982;103.846;105.711;107.575;109.439;111.304;113.168;115.032;116.897;118.761;120.625;122.489;124.354;126.218;128.082;129.947;131.811;133.675;135.540;137.404;139.268;141.132;142.997;144.861;146.725;148.590;150.454;152.318;154.183;156.047;157.911;159.775;161.640;163.504;165.368;167.233;169.097;170.961;172.826;174.690;176.554;178.418;180.283;182.147;184.011;185.876;187.740;189.604;191.469;193.333;195.197;197.061;198.926;200.790;202.654;204.519;206.383;208.247;210.112;211.976;213.840;215.704;217.569;219.433;221.297;223.162;225.026;226.890;228.755;230.619;232.483;234.347;236.212;238.076;239.940;241.805;243.669;245.533;247.398;249.262;251.126;252.990;254.855;256.719;258.583;260.448;262.312;264.176;266.041;267.905;269.769;271.633;273.498;275.362;277.226;279.091;280.955;282.819;284.684;286.548;288.412;290.276;292.141;294.005;295.869;297.734;299.598;301.462;303.327;305.191;307.055;308.919;310.784;312.648;314.512;316.377;318.241;320.105;321.970;323.834;325.698;327.562;329.427;331.291;333.155;335.020
Curve gains: [counts]
0.861;0.000;1.060;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.612;0.000;0.000;0.000;0.895;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.802;0.000;0.000;0.864;0.000;0.000;0.000;0.760;0.779;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.818;0.000;0.000;0.000;0.000;0.000;0.000;0.795;0.794;0.000;0.000;0.000;0.741;0.000;0.829;0.000;0.000;0.000;0.925;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.864;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.799;0.852;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.064;0.000;0.000;0.000;0.871;0.903;0.000;0.000;0.848;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.915;0.000;0.000;0.000;0.000;0.000;0.866;0.868;0.000;0.000;0.000;0.917;0.000;1.077;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.867;0.771;0.000;0.796;0.939;0.928;0.704;0.862;0.000;0.000;0.000;0.909;0.893;0.000;0.846;0.822;0.959;0.815;2.511;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.755;1.013;0.000;0.726;0.000;0.000;0.802;0.000;0.000;0.000;0.000;0.000;0.000;0.784;0.000;0.854;0.000;0.000;0.000;0.000;0.843;0.000;0.928;0.947;0.000;0.000;0.000;0.000;0.883;0.971;0.956;0.000;0.808;0.000;0.000;0.000;0.000;0.000;0.000;0.977;0.000;0.000;0.000;0.000;0.000;0.817;0.000;0.000;0.000;0.993;0.000;0.000;0.000;0.000;0.000;1.069;0.898;0.000;0.874;0.000;0.919;0.869;0.000;0.000;0.000;0.835;0.000;1.024;0.000;0.886;0.000;0.809;1.094;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.930;0.000;0.000;0.000;0.788;0.000;0.000;0.000;0.000;0.849;0.901;0.973;0.000;0.000;0.000;0.000;0.000;0.000;0.924;0.000;0.000;0.925;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.130;0.000;0.967;0.000;0.000;1.027;0.000;0.767
0.861;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.787;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.914;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.880;0.000;0.000;1.045;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.013;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.929;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
